YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;2;7;23.302;35.693;77.597;0.8534;0.34;8.041;14.17;15.65;17.27;12.28;83.72;4.44;83.73;1.85;3.54;3.19;1.77;16.171
2015;2;8;22.704;35.539;7.482;0.577;0.34;78.883;15.34;16.48;17.7;13.15;87.33;13.72;83.78;1.58;2.81;2.66;1.73;16.147
2015;2;9;2.195;40.795;77.659;20.484;0.39;76.886;16.33;17.4;18.48;13.99;88.04;20.93;83.72;1.51;3.41;2.38;1.93;18.439
2015;2;10;21.782;42.468;77.808;23.806;0.41;7.751;16.56;17.19;17.87;14.16;92.79;7.17;83.73;1.48;3.48;2.47;2.04;19.176
2015;2;11;23.184;40.236;78.629;13.786;0.38;77.326;15.35;16.75;18.54;13.08;85.08;0.72;83.85;1.49;2.68;2.24;1.96;17.964
2015;2;12;20.664;36.115;75.749;14.278;0.34;80.117;15.72;16.8;18.35;13.36;88.23;0.76;83.97;1.43;2.86;2.26;1.81;16.656
2015;2;13;21.989;39.845;7.807;18.202;0.38;76.447;15.41;16.12;17.16;13.1;91.93;20.35;84.0;1.22;2.1;2.17;2.03;17.779
2015;2;14;21.898;38.722;77.422;11.062;0.37;79.188;15.67;16.49;17.6;13.34;90.82;17.54;83.92;1.32;2.91;2.34;2.02;17.561
2015;2;15;2.285;34.709;76.956;0.7788;0.33;80.491;15.04;15.84;16.92;12.81;91.01;3.74;83.88;1.29;2.45;2.26;1.76;16.034
2015;2;16;20.957;47.851;78.458;35.314;0.46;75.187;14.56;16.14;18.13;12.47;82.87;0.23;83.8;1.76;2.27;3.03;2.26;2.148
2015;2;17;29.294;55.478;78.132;2.549;0.53;74.628;15.97;17.12;18.53;13.64;87.55;0.04;83.79;1.36;2.06;2.38;2.43;24.377
2015;2;18;22.291;54.214;78.437;41.093;0.52;7.471;16.27;17.67;18.86;13.91;84.75;1.37;83.73;1.47;2.16;2.44;2.47;23.971
2015;2;19;20.947;41.815;78.722;23.006;0.4;78.283;17.03;18.61;19.67;14.64;82.67;2.96;83.6;0.89;1.43;1.5;2.05;19.063
2015;2;20;26.714;57.715;77.009;34.865;0.55;74.851;17.27;18.17;18.97;14.86;89.73;1.97;83.57;1.25;1.95;2.31;2.57;25.639
2015;2;21;21.806;54.847;78.442;40.826;0.52;77.374;16.85;17.36;17.79;14.42;94.09;8.96;83.7;1.16;2.42;2.03;2.69;24.701
2015;2;22;18.077;48.737;79.951;43.627;0.46;75.794;16.16;16.95;18.07;13.78;91.38;0.99;83.77;2.12;3.84;3.79;2.25;21.586
2015;2;23;20.112;43.531;77.016;26.866;0.41;79.786;15.96;16.91;18.26;13.65;89.52;1.95;83.77;1.83;3.29;3.38;1.96;19.186
2015;2;24;16.973;32.597;73.937;15.132;0.31;79.706;15.72;16.65;18.03;13.42;89.79;16.99;83.75;1.82;3.74;3.35;1.52;1.476
2015;2;25;20.318;3.331;75.576;0.9523;0.32;76.526;15.26;16.26;17.65;13.05;89.01;5.03;83.77;1.98;3.53;3.43;1.6;14.988
2015;2;26;20.314;34.759;73.745;1.14;0.33;81.754;14.48;15.69;17.29;12.4;86.65;1.19;83.79;1.59;2.25;2.87;1.71;16.135
2015;2;27;19.454;3.631;77.374;13.428;0.34;79.138;15.51;16.29;17.44;13.22;91.36;3.14;83.85;1.62;2.53;2.94;1.84;1.632
2015;2;28;17.306;2.682;72.346;0.5102;0.25;8.034;14.88;15.87;17.29;12.67;89.11;10.65;83.9;1.71;2.93;3.02;1.37;12.422
2015;3;1;21.389;37.567;74.995;12.154;0.36;7.745;15.31;16.62;18.37;13.09;85.88;4.91;83.86;2.0;3.12;3.47;1.8;1.681
2015;3;2;20.638;40.236;76.908;21.773;0.38;78.346;16.16;16.91;18.14;13.78;91.68;8.96;83.79;1.43;2.55;2.57;2.0;18.538
